sample1,,sample2,,sample1redo,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
609,0.0004380042956,609,-0.0003287309082,609,0.00640671514,
608,0.0005059252144,608,-0.0003109861864,608,0.006541031413,
607,0.0005278248573,607,-0.0002826345444,607,0.006566706579,
606,0.000490634935,606,-0.0003297138319,606,0.006575221661,
605,0.0005222267355,605,-0.0002973797091,605,0.006632754114,
604,0.0005113157677,604,-0.0003050883824,604,0.006637196057,
603,0.0005227191723,603,-0.000283307163,603,0.006613908801,
602,0.0005315829185,602,-0.0003422846785,602,0.006626340561,
601,0.0005194018013,601,-0.0002761154901,601,0.006662377622,
600,0.0004984095576,600,-0.000333335076,600,0.006642216817,
599,0.0005893572816,599,-0.0002703206846,599,0.006660169456,
598,0.0004918529303,598,-0.0003663389944,598,0.006690215319,
597,0.0005003273254,597,-0.0003407844633,597,0.006731331814,
596,0.0004520747752,596,-0.000370115129,596,0.006718975492,
595,0.0005322308862,595,-0.000308502902,595,0.006793880835,
594,0.0005366887199,594,-0.0003556828306,594,0.006712718401,
593,0.0005061584525,593,-0.0003584762162,593,0.006772478111,
592,0.0005093202344,592,-0.0003245922562,592,0.006865958683,
591,0.0004931487492,591,-0.0003797364188,591,0.006782153621,
590,0.0004807095102,590,-0.0003313692578,590,0.006866853219,
589,0.0005391768645,589,-0.0003045192861,589,0.006822463591,
588,0.0004681151768,588,-0.0003830468922,588,0.006849575322,
587,0.0005241964827,587,-0.0002973279625,587,0.006938101724,
586,0.000523885421,586,-0.0003270237066,586,0.006931341719,
585,0.0004968546564,585,-0.0003287826257,585,0.006964510307,
584,0.0005431682803,584,-0.0003104171192,584,0.006975926459,
583,0.0005605598562,583,-0.0003588900436,583,0.006977583747,
582,0.0005363259115,582,-0.0003488027432,582,0.006990157999,
581,0.0005396174965,581,-0.0003832538205,581,0.007052902132,
580,0.0005533543299,580,-0.0002740459167,580,0.007056427654,
579,0.0005511771305,579,-0.0002835141204,579,0.007118839771,
578,0.0005267104134,578,-0.0003086063953,578,0.007060190197,
577,0.0005813995376,577,-0.0002900330583,577,0.007105919532,
576,0.0004635802761,576,-0.0003349905019,576,0.007100920193,
575,0.0005142443697,575,-0.0003174529993,575,0.007139680441,
574,0.000549544231,574,-0.0002986213949,574,0.00713704899,
573,0.000531323778,573,-0.0002646810026,573,0.007177470718,
572,0.0005897979136,572,-0.0002557815751,572,0.007216185331,
571,0.000625752029,571,-0.0002708380634,571,0.0072786198,
570,0.0005962004652,570,-0.0002442430705,570,0.00728430599,
569,0.0005364554818,569,-0.0002877048682,569,0.00766142644,
568,0.0005106160534,568,-0.0002438808733,568,0.007714913692,
567,0.000501260336,567,-0.0002552641672,567,0.007755336352,
566,0.0005247666268,566,-0.0002361711231,566,0.007713490631,
565,0.0005208531511,565,-0.0002030538308,565,0.007732383907,
564,0.0005162658636,564,-0.000235343221,564,0.007750803605,
563,0.0005354447057,563,-0.0001655868546,563,0.007769645657,
562,0.0005908866297,562,-0.0001618606766,562,0.007863262668,
561,0.0004773665278,561,-0.000236378095,561,0.007814923301,
560,0.0005956561654,560,-0.0001794562268,560,0.007886169478,
559,0.0005589269567,559,-0.0001769721857,559,0.007944613695,
558,0.0005794555182,558,-0.0001507337147,558,0.007948304527,
557,0.0005794555182,557,-0.0001700375142,557,0.007938127965,
556,0.0005931936321,556,-0.0001381055627,556,0.008077244274,
555,0.0006025772309,555,-0.0001763511827,555,0.008028933778,
554,0.0005791703588,554,-0.0001070511717,554,0.008043859154,
553,0.0006201526267,553,-0.0001035832902,553,0.00808370579,
552,0.0006584165967,552,-0.0001021340213,552,0.008106808178,
551,0.0006282147369,551,-8.898683882E-5,551,0.008116461337,
550,0.0006791832275,550,-7.071470463E-5,550,0.008215481415,
549,0.000596615253,549,-7.382050535E-5,549,0.008154546842,
548,0.0006388953771,548,-4.452158464E-5,548,0.008223606274,
547,0.0006064136978,547,-6.719477824E-5,547,0.008236269467,
546,0.0006084874622,546,-0.000122216341,546,0.008295368403,
545,0.0006731942412,545,-3.147619645E-5,545,0.008283019997,
544,0.0007002619677,544,-4.545338015E-5,544,0.008387726732,
543,0.0007060698117,543,-4.938761776E-5,543,0.008377619088,
542,0.0006709905574,542,-5.011234316E-5,542,0.008416968398,
541,0.0007113592001,541,-6.471444067E-6,541,0.008482743055,
540,0.0006817759131,540,-3.225271939E-5,540,0.008489500731,
539,0.0007087144768,539,-2.174366819E-5,539,0.008513865992,
538,0.0007172968471,538,4.607726623E-6,538,0.008620766923,
537,0.00082478486,537,7.13217014E-5,537,0.008618706837,
536,0.0007778965519,536,2.780241994E-5,536,0.008713273332,
535,0.0007660715492,535,2.226250399E-5,535,0.008692303672,
534,0.0007653973298,534,8.620112567E-6,534,0.008750698529,
533,0.0007726582699,533,6.626858521E-6,533,0.008798349649,
532,0.0008071492775,532,4.141774752E-6,532,0.00881406758,
531,0.0009246207774,531,1.969966797E-5,531,0.008898979053,
530,0.0009313655319,530,3.958144953E-5,530,0.008965884335,
529,0.0009644682286,529,7.815677236E-5,529,0.009060526267,
528,0.000984289567,528,9.141297051E-5,528,0.009126134217,
527,0.001041008392,527,0.0001181855259,527,0.009201588109,
526,0.0009467750788,526,4.522514064E-5,526,0.009244000539,
525,0.001012570225,525,8.967825124E-5,525,0.009336877614,
524,0.001056317938,524,5.198213694E-5,524,0.009342141449,
523,0.001099343528,523,5.073946159E-5,523,0.009434563108,
522,0.001189975883,522,0.000135663664,522,0.009538091719,
521,0.001223877072,521,0.0001178489183,521,0.009591995738,
520,0.001207523164,520,0.0001238561381,520,0.009714012034,
519,0.001305707614,519,0.00014835193,519,0.009835506789,
518,0.001380568021,518,0.0001920645736,518,0.009917466901,
517,0.001420353423,517,0.0001830005785,517,0.009990859777,
516,0.001481648767,516,0.0001679806446,516,0.01012318954,
515,0.001543446328,515,0.0002206044737,515,0.0102664791,
514,0.001577816787,514,0.0001919350907,514,0.01034438517,
513,0.001650047721,513,0.0002194390108,513,0.01047430281,
512,0.001716754981,512,0.0002324405359,512,0.01059980411,
511,0.001773725613,511,0.0001859528275,511,0.01069286559,
510,0.001899180585,510,0.00022407496,510,0.01082137506,
509,0.001997781685,509,0.0002556733089,509,0.01102306601,
508,0.00207593455,508,0.0002389414294,508,0.0111304,
507,0.002146167215,507,0.0002841914538,507,0.01132447552,
506,0.002217660192,506,0.000213637657,506,0.01149811782,
505,0.002363518346,505,0.0002562431328,505,0.01170259621,
504,0.002483416349,504,0.0003017021809,504,0.01188341342,
503,0.00262009236,503,0.0002758508199,503,0.01203417778,
502,0.002791538835,502,0.0003600418277,502,0.0122858528,
501,0.002870486118,501,0.0002681319602,501,0.01251169667,
500,0.003018258139,500,0.0003436427214,500,0.01275994256,
499,0.003115861909,499,0.0003153278958,499,0.01292951964,
498,0.003292616457,498,0.0003128151293,498,0.01321464311,
497,0.003495380515,497,0.0003920645977,497,0.01347100828,
496,0.003599643242,496,0.0003558189201,496,0.01371918991,
495,0.003830206115,495,0.0003722702968,495,0.01404434722,
494,0.003943064716,494,0.0003862609447,494,0.01430826541,
493,0.00419649668,493,0.0003835663956,493,0.01463761274,
492,0.004401722923,492,0.000431707711,492,0.0149454549,
491,0.004600270651,491,0.0004248152545,491,0.01520346012,
490,0.004795270506,490,0.0004493280139,490,0.01550078485,
489,0.004968861118,489,0.0004924230743,489,0.01589289866,
488,0.005188625306,488,0.0004771592212,488,0.01620294712,
487,0.005351365544,487,0.0004876287712,487,0.01652443223,
486,0.005537238903,486,0.0005084908917,486,0.01685543731,
485,0.005737066735,485,0.0004599523963,485,0.01713079214,
484,0.005966562778,484,0.0005608449574,484,0.0175442975,
483,0.006169477012,483,0.0005472374614,483,0.01788649336,
482,0.006418037694,482,0.0006380139384,482,0.01825590245,
481,0.006644030102,481,0.0005898497766,481,0.01863764971,
480,0.006841317751,480,0.000623548578,480,0.0189187061,
479,0.00710755121,479,0.0007458453183,479,0.01932920888,
478,0.007335482165,478,0.0007101924275,478,0.01971604675,
477,0.007554340642,477,0.0007885030354,477,0.02004521154,
476,0.007816899568,476,0.0008809381397,476,0.02054315992,
475,0.008145790547,475,0.0009688527207,475,0.02099022083,
474,0.008312809281,474,0.0009669847786,474,0.02130219154,
473,0.008591062389,473,0.001142658875,473,0.02174714953,
472,0.008884130046,472,0.001232910901,472,0.02218684368,
471,0.009270020761,471,0.001463596942,471,0.02266303636,
470,0.009459351189,470,0.001631832914,470,0.02308173664,
469,0.009739531204,469,0.001811857335,469,0.02354057506,
468,0.01010827255,468,0.002076818841,468,0.02413098328,
467,0.0103389509,467,0.002346965251,467,0.02455143072,
466,0.01069222856,466,0.002708385931,466,0.02500691637,
465,0.01098666526,465,0.003108457429,465,0.02557941712,
464,0.01134055108,464,0.003566469532,464,0.02603411302,
463,0.01159831136,463,0.004096141085,463,0.02654291503,
462,0.01201379206,462,0.004756954499,462,0.02715709619,
461,0.01223643217,461,0.005401790608,461,0.02755773067,
460,0.01257878728,460,0.006237433758,460,0.02810162492,
459,0.0128780799,459,0.0070853699,459,0.02855302766,
458,0.01323228236,458,0.008166865446,458,0.02907763235,
457,0.0134440409,457,0.009209308773,457,0.02949738503,
456,0.01369789708,456,0.01040902082,456,0.02993950807,
455,0.01395756844,455,0.01171602588,455,0.03040928952,
454,0.01423994359,454,0.01317149401,454,0.03081718832,
453,0.01454838645,453,0.01481116563,453,0.03128435835,
452,0.01470527425,452,0.01646073349,452,0.03165008873,
451,0.01494765189,451,0.01830668747,451,0.03208142146,
450,0.01516499277,450,0.02021594904,450,0.03242266551,
449,0.01535363961,449,0.02224645577,449,0.03278519586,
448,0.0155653609,448,0.02439341135,448,0.03320407867,
447,0.01584408619,447,0.0266935993,447,0.03363315389,
446,0.01602875814,446,0.02898724377,446,0.03393371403,
445,0.01617693901,445,0.03136075661,445,0.03430510312,
444,0.01638922282,444,0.03391946852,444,0.0346862264,
443,0.01656113751,443,0.03637009859,443,0.03502730653,
442,0.01677032933,442,0.03889711201,442,0.03541302308,
441,0.01702010632,441,0.04138415679,441,0.03575793654,
440,0.01722391695,440,0.04400009662,440,0.03612171486,
439,0.0173653923,439,0.04658494517,439,0.03653166443,
438,0.01756521314,438,0.04907314852,438,0.03684869409,
437,0.01775773801,437,0.0515936166,437,0.03723710775,
436,0.01798496209,436,0.05413750932,436,0.0375610888,
435,0.01808148064,435,0.05657732859,435,0.03793406487,
434,0.01831200719,434,0.05904638395,434,0.0382454209,
433,0.01846434548,433,0.06143943593,433,0.03861510754,
432,0.01857494004,432,0.06389737874,432,0.03876548633,
431,0.01868885756,431,0.06621314585,431,0.039071206,
430,0.0188345965,430,0.06864333153,430,0.03931252658,
429,0.01889480464,429,0.07099854201,429,0.03950544074,
428,0.01890907995,428,0.07339084148,428,0.03965198249,
427,0.01899087802,427,0.07571983337,427,0.03976529837,
426,0.0189701356,426,0.07829425484,426,0.03991752118,
425,0.01898665912,425,0.08068463951,425,0.04000998661,
424,0.01902427711,424,0.08324450254,424,0.04002914578,
423,0.01895453408,423,0.08587793261,423,0.04013901204,
422,0.01907793805,422,0.08842863888,422,0.04015792161,
421,0.01893546991,421,0.09101369232,421,0.04019676521,
420,0.01890164427,420,0.09355972707,420,0.0402373448,
419,0.01892781816,419,0.09621381015,419,0.04021195695,
418,0.01886236109,418,0.0987226963,418,0.04026483744,
417,0.01875685714,417,0.1012283787,417,0.0402228348,
416,0.01872658543,416,0.1035472453,416,0.04016902298,
415,0.01867937297,415,0.1058860347,415,0.04015891626,
414,0.01859566197,414,0.108022809,414,0.04014573991,
413,0.01851215586,413,0.1100502759,413,0.04012194648,
412,0.01842774823,412,0.1119579971,412,0.04009588435,
411,0.01836846955,411,0.1136609316,411,0.04006221518,
410,0.01825239323,410,0.115092285,410,0.0399348326,
409,0.01812325791,409,0.1164376587,409,0.0398253575,
408,0.01810261235,408,0.1176916212,408,0.03987053037,
407,0.01789412834,407,0.1186084151,407,0.03964245692,
406,0.01784700528,406,0.1195140928,406,0.03953716904,
405,0.0175293386,405,0.1201769337,405,0.03928931803,
404,0.01743935421,404,0.1209941134,404,0.03909924626,
403,0.01723638736,403,0.1215582788,403,0.03890999407,
402,0.01707489416,402,0.1220137626,402,0.03859176859,
401,0.0168079976,401,0.1224854067,401,0.03827363253,
400,0.01662713662,400,0.122972168,400,0.0381488353,
399,0.01633933373,399,0.1233381405,399,0.03773913532,
398,0.01621554978,398,0.1237233132,398,0.03749787062,
397,0.01593387499,397,0.1240334958,397,0.03717709333,
396,0.01560968813,396,0.1242753565,396,0.03678842634,
395,0.01533253491,395,0.1245662421,395,0.03649520129,
394,0.01511443965,394,0.124808155,394,0.03610255569,
393,0.01486811228,393,0.1250480562,393,0.03587288037,
392,0.01456027199,392,0.1251114756,392,0.03549242765,
391,0.01453213859,391,0.1254081875,391,0.03528432921,
390,0.01418554038,390,0.1254217625,390,0.03498347849,
389,0.01399202645,389,0.1255392879,389,0.0346461609,
388,0.01372474618,388,0.1255622059,388,0.03444550186,
387,0.01349090133,387,0.1256921142,387,0.03402460739,
386,0.0132232355,386,0.1257785261,386,0.03379006684,
385,0.01300558355,385,0.1260683835,385,0.03355481476,
384,0.01287879981,384,0.1264392883,384,0.0332213752,
383,0.0126559902,383,0.1267885417,383,0.03291066736,
382,0.01232475881,382,0.1273247451,382,0.03259150311,
381,0.01209986396,381,0.1279291064,381,0.0323536098,
380,0.01190224942,380,0.1287128329,380,0.03204717115,
379,0.01161460858,379,0.1295652241,379,0.03167066351,
378,0.01133343019,378,0.1304620504,378,0.0314004086,
377,0.0112997666,377,0.1317899823,377,0.0312191546,
376,0.01105150301,376,0.1330182701,376,0.03096811101,
375,0.01079374924,375,0.1343162656,375,0.03061670437,
374,0.01047464833,374,0.1357337087,374,0.0302868709,
373,0.01030327007,373,0.1373096704,373,0.0301159285,
372,0.01018447988,372,0.1388922632,372,0.02999006957,
371,0.01004452817,371,0.1403946579,371,0.02975664474,
370,0.009791024961,370,0.1417511553,370,0.02964333259,
369,0.009708638303,369,0.1431205869,369,0.02941563539,
368,0.009541822597,368,0.1440940201,368,0.02919467352,
367,0.009370600805,367,0.1449017525,367,0.02907583304,
366,0.009235274047,366,0.145283103,366,0.02913232893,
365,0.009160184301,365,0.1451807171,365,0.02883401886,
364,0.009048710577,364,0.1446711421,364,0.02866030298,
363,0.00883596763,363,0.1435039788,363,0.02846830338,
362,0.008792194538,362,0.1418159157,362,0.02835231461,
361,0.008749457076,361,0.139700681,361,0.02827901207,
360,0.00866230391,360,0.1368206292,360,0.02808737569,
359,0.008459831588,359,0.1334172636,359,0.02782231942,
358,0.00832618773,358,0.1299232841,358,0.02774118818,
357,0.008383108303,357,0.1260473728,357,0.02761435881,
356,0.008145025,356,0.1219948009,356,0.02741636895,
355,0.008139090613,355,0.118104063,355,0.0274303481,
354,0.008023633622,354,0.1140953079,354,0.02731598727,
353,0.00810430292,353,0.1103673652,353,0.02710099518,
352,0.007954473607,352,0.1066459343,352,0.02693155222,
351,0.007917327806,351,0.1030479297,351,0.02696173824,
350,0.007911290973,350,0.09967027605,350,0.02681547776,
349,0.006319295149,349,0.09515496343,349,0.02414846979,
348,0.00826705806,348,0.09287115186,348,0.02597428299,
347,0.007523418404,347,0.08971637487,347,0.02494972199,
346,0.007167970296,346,0.08587168902,346,0.02501119487,
345,0.007681740448,345,0.08297618479,345,0.02486465685,
344,0.008076531813,344,0.08004847169,344,0.02505668625,
343,0.007533269003,343,0.07617621869,343,0.02477834746,
342,0.007300284691,342,0.07240623236,342,0.0248354096,
341,0.007052744273,341,0.06960196793,341,0.02475222945,
340,0.007880317047,340,0.06667171419,340,0.02482628264,
339,0.007265616208,339,0.06319653243,339,0.02460873686,
338,0.007399145514,338,0.06097917259,338,0.02504171431,
337,0.007107577287,337,0.05857552588,337,0.02505271137,
