FLMT06513_1:101,
411,192.47
412,251.89
412,376.6
412,274.62
412,272.98
412,300.09
413,305.87
413,276.73
413,204.75
413,276.78
413,243.46
414,344.39
414,198.49
414,239.75
414,330.33
414,264.89
415,251.79
415,285.74
415,345.88
415,321.56
415,226.8
416,388.45
416,376.36
416,285.55
416,242.59
416,327.68
417,222.9
417,311.45
417,293.83
417,202.29
418,413.2
418,306.88
418,283.33
418,216.16
418,259.59
419,438
419,305.91
419,337.36
419,334.61
419,331.92
420,347.23
420,399.96
420,286.56
420,395.77
420,340.39
421,354.36
421,350.65
421,317.52
421,302.69
421,586.64
422,420.37
422,309.19
422,252.32
422,384.45
422,384.16
423,462.22
423,308.23
423,400.97
423,369.38
423,394.08
424,374.05
424,303.6
424,419.31
424,407.66
424,317.86
425,394.9
425,410.84
425,615.72
425,486.92
425,401.4
426,462.75
426,442.33
426,503.92
426,487.21
426,496.36
427,474.35
427,545.47
427,448.2
427,538.92
428,594.39
428,503.82
428,464.96
428,525.73
428,681.02
429,535.5
429,639.51
429,567.48
429,546.43
429,496.31
430,547.83
430,513.21
430,685.93
430,596.13
430,596.95
431,653.62
431,764.03
431,666.77
431,613.61
431,584.62
432,622.08
432,664.98
432,693.06
432,640.72
432,641.25
433,766.06
433,732.64
433,789.6
433,927.41
433,926.11
434,1046.25
434,1385.97
434,1944.43
434,5588.87
434,11209.76
435,15083.84
435,17623.09
435,19822.58
435,18443.89
435,13561.13
436,10926.39
436,8994.57
436,7665.1
436,6618.41
436,5386.35
437,4403.99
437,3387.31
437,2689.15
437,1970.39
437,1454.39
438,1155.46
438,1110.54
438,954.62
438,959.39
438,857.06
439,940.7
439,971.09
439,902.57
439,941.38
440,873.48
440,956.55
440,922.21
440,848.3
440,918.17
441,914.85
441,845.03
441,825.96
441,952.45
441,1025.02
442,958.18
442,960.69
442,867.27
442,1019.96
442,965.16
443,993.67
443,986.88
443,1034.65
443,899.1
443,882.54
444,990.4
444,994.3
444,973.83
444,952.36
444,935.94
445,920.96
445,1033.73
445,1025.93
445,1088.39
445,1068.88
446,970.17
446,1014.04
446,1146.94
446,1091.42
446,986.69
447,1003.11
447,1024.1
447,1144.19
447,1008.6
447,1036.72
448,1103.51
448,1152.86
448,1154.59
448,1129.94
448,1239.68
449,1255.38
449,1111.21
449,1126.04
449,1156.57
449,1097.1
450,1118
450,1070.28
450,1111.79
450,1245.36
450,1227.02
451,1186.52
451,1163.7
451,1116.65
451,1161.77
451,1220.47
452,1199.71
452,1216.09
452,1216.81
452,1198.46
452,1204.24
453,1190.03
453,1168.56
453,1159.02
453,1266.31
453,1344.36
454,1258.56
454,1185.89
454,1264.19
454,1281.09
454,1188.3
455,1381.58
455,1246.47
455,1291.78
455,1251.04
455,1206.65
456,1464.65
456,1272.86
456,1341.33
456,1453.09
457,1312.39
457,1439.51
457,1303.05
457,1297.85
457,1365.79
458,1370.32
458,1358.9
458,1350.57
458,1347.2
458,1398.29
459,1332.57
459,1453.38
459,1400.32
459,1529.84
459,1409.03
460,1481.55
460,1428
460,1433.3
460,1493.63
460,1400.75
461,1429.35
461,1547.18
461,1458.63
461,1475.96
461,1399.74
462,1511.45
462,1526.23
462,1604.05
462,1485.16
462,1501.05
463,1514.72
463,1627.11
463,1576.36
463,1566.78
463,1507.21
464,1532.11
464,1740.61
464,1667.32
464,1657.69
464,1540.25
465,1631.97
465,1696.64
465,1622.3
465,1688.65
465,1707.81
466,1683.93
466,1650.71
466,1627.54
466,1726.21
466,1722.4
467,1711.28
467,1723.27
467,1723.95
467,1770.99
467,1756.35
468,1789.82
468,1743.93
468,1788.47
468,1865.46
468,1858.29
469,1833.49
469,1872.25
469,1838.21
469,1817.94
469,2018.4
470,1920.5
470,2008.19
470,1971.4
470,1986.13
470,1970.58
471,2039.87
471,1945.44
471,2118.21
471,1978.28
471,1940.58
472,2022.63
472,2095.29
472,2145.32
472,2063.18
472,2104.54
473,2100.88
473,2183.99
473,2145.66
473,2167.23
473,2153.46
474,2193.14
474,2147.68
474,2214.52
474,2250.73
474,2213.6
475,2142.29
475,2252.85
475,2164.01
475,2403.47
475,2265.9
476,2264.6
476,2260.94
476,2339.81
476,2332.54
476,2303.07
477,2456.87
477,2390.03
477,2372.75
477,2474.83
477,2421.04
478,2565.21
478,2475.17
478,2575.9
478,2515.9
478,2557.99
479,2583.41
479,2564.2
479,2624.24
479,2678.66
479,2730.95
480,2600.94
480,2728.59
480,2688.05
480,2818.11
480,2789.07
481,2770.19
481,2887.11
481,2811.22
481,3062.33
481,2997.86
482,3023.38
482,2998.87
482,2990.35
482,3184.4
482,3280.37
483,3280.08
483,3360.01
483,3341.23
483,3439.6
483,3496.18
484,3600.48
484,3519.54
484,3749.37
484,3845.53
484,3972.94
485,4123.89
485,4105.98
485,4205.94
485,4237.97
485,4440.73
486,4532.37
486,4517.59
486,4546.48
486,4650.1
486,4728.68
487,4626.12
487,4627.18
487,4677.88
487,4643.41
487,4663.58
488,4632.81
488,4616.78
488,4525.58
488,4424.56
488,4495.44
489,4478.92
489,4499.48
489,4325.75
489,4382.9
489,4248.17
490,4272.64
490,4185.24
490,4276.3
490,4326.47
490,4293.39
491,4303.93
491,4418.68
491,4284.05
491,4253.04
491,4234.88
492,4192.9
492,4093.46
492,4011.41
492,4151.29
492,4046.66
493,3996.72
493,3936.68
493,3785.34
493,3923
493,3813.89
494,3984.73
494,3877.02
494,3850.53
494,3800.55
494,3774.31
495,3748.89
495,3734.54
495,3667.7
495,3670.35
495,3682.15
496,3656.19
496,3698.95
496,3595.33
496,3523.24
496,3580.69
497,3668.47
497,3705.36
497,3555.46
497,3487.56
497,3515.97
498,3431.13
498,3433.39
498,3487.76
498,3456.27
498,3417.45
499,3309.21
499,3298.42
499,3346.96
499,3355.24
499,3273.72
500,3399.35
500,3350.09
500,3269.24
500,3214.4
500,3287.93
501,3157.72
501,3169.13
501,3221.96
501,3147.47
501,3111.93
502,3176.41
502,3065.56
502,3164.9
502,3145.59
502,3143.13
503,3006.96
503,3084.15
503,3076.97
503,3009.75
503,3038.83
504,3024.97
504,3040.81
504,2995.21
504,2951.53
504,3040.91
505,3047.45
505,2950.09
505,3017.74
505,2941.18
505,3070.42
506,2991.31
506,2896.59
506,2906.71
506,2953.94
506,3001.28
507,3071.77
507,2941.23
507,2955.15
507,3137.45
507,2896.98
508,2910.85
508,2913.78
508,2965.35
508,3065.66
508,2940.03
509,2978.31
509,3037.2
509,2925.63
509,2917.01
509,2991.89
510,2981.29
510,2961.94
510,2892.98
510,3061.66
510,2940.22
510,3010.71
511,2894.96
511,2925.2
511,2975.76
511,2881.38
511,2885.04
512,2979.85
512,2917.97
512,2888.74
512,2896.4
512,2883.16
513,2864.19
513,2918.89
513,2891.54
513,2845.02
513,2865.34
514,2878.73
514,2861.15
514,2773.76
514,2752.81
514,2878.73
515,2712.51
515,2837.41
515,2734.22
515,2771.4
515,2797.88
516,2771.21
516,2594.01
516,2729.36
516,2646.11
516,2755.27
517,2679.86
517,2585.19
517,2619.24
517,2612.06
517,2564.15
518,2509.07
518,2531.99
518,2611.34
518,2490.72
518,2607.01
519,2543.4
519,2406.74
519,2515.42
519,2445.55
519,2396.24
520,2510.37
520,2405.88
520,2451.38
520,2409.68
520,2345.3
521,2373.85
521,2318.43
521,2329.65
521,2315.54
521,2319.68
522,2266.96
522,2261.32
522,2262.04
522,2337.31
522,2236.81
523,2227.91
523,2141.09
523,2236.96
523,2133.48
523,2096.02
524,2063.08
524,2048.06
524,2023.93
524,1987.48
524,2086.34
525,2035.87
525,1957.92
525,2080.42
525,2219.91
525,1996.2
526,1964.71
526,1953.58
526,1904.18
526,2045.07
526,1825.16
526,1813.32
527,1908.85
527,1916.75
527,1723.95
527,1896.62
527,1870.81
528,1798.44
528,1898.06
528,1778.79
528,1674.16
528,1756.16
529,1786.06
529,1689.42
529,1780.81
529,1859.16
529,1637.42
530,1757.36
530,1757.56
530,1709.4
530,1646.81
530,1638.91
531,1620.03
531,1629.76
531,1577.56
531,1632.5
531,1568.85
532,1600.82
532,1601.88
532,1634.96
532,1710.8
532,1860.22
533,1664.24
533,1826.99
533,1731.65
533,1656.24
533,1608.14
534,1700.21
534,1572.99
534,1638.91
534,1568.75
534,1582.86
535,1727.75
535,1538.03
535,1597.55
535,1588.4
535,1650.99
536,1682.92
536,1646.23
536,1635.54
536,1756.35
536,1918.19
537,1912.75
537,2078.34
537,2070.5
537,2142.68
537,2249.24
538,2366.92
538,2235.99
538,2367.84
538,2524.43
538,2466.07
538,2651.6
539,2824.51
539,3080.87
539,3392.27
539,3747.87
539,4012.76
540,4396.72
540,4867.99
540,5569.08
540,6400.38
540,7241.69
541,8147.58
541,8839.86
541,9226.72
541,9470.65
541,9519
542,9453.32
542,9179.48
542,8932.36
542,8907.85
542,8811.84
543,8707.97
543,8617.4
543,8575.46
543,8718.18
543,8495.62
544,8368.98
544,8357.57
544,8225.78
544,8251.59
544,8718.52
545,11506.72
545,18936.25
545,24078.84
545,27619.71
545,29920.42
546,30094.48
546,25391.52
546,20593.74
546,17675.58
546,16101.58
547,14658.51
547,13813.68
547,12741.29
547,11844.31
547,10864.08
547,9898.39
548,8932.41
548,8099.43
548,7035.02
548,6192.51
548,5437.1
549,5039.55
549,4696.95
549,4363.4
549,4110.12
549,3914.67
550,3777.01
550,3580.83
550,3377.44
550,3243.58
550,3071.67
551,2902.13
551,2851.52
551,2753
551,2605.71
551,2480.46
552,2280.82
552,2291.51
552,2238.79
552,2069.1
552,1938.7
553,1982.91
553,1881.45
553,1704.3
553,1662.21
553,1650.22
554,1472.74
554,1387.41
554,1485.26
554,1242.76
554,1205.73
555,1257.88
555,1194.22
555,1215.84
555,1150.21
555,1054.58
555,934.3
556,1084.92
556,912.15
556,908.73
556,957.17
556,986.64
557,823.31
557,808.81
557,757.63
557,842.71
557,810.74
558,697.97
558,806.65
558,770.92
558,761.43
558,695.08
559,668.64
559,668.21
559,746.22
559,744.68
559,779.83
560,674.18
560,726.33
560,653.38
560,680.06
560,644.57
561,645.72
561,601.04
561,612.55
561,611.34
561,647.89
562,503.96
562,647.41
562,612.11
562,520.91
562,500.88
562,554.86
563,674.33
563,514.89
563,506.52
563,460.19
563,483.93
564,501.22
564,546.67
564,496.64
564,605.71
564,516.63
565,547.73
565,388.21
565,465.44
565,463.61
565,488.8
566,468.91
566,480.37
566,405.83
566,425.76
566,345.3
567,392.25
567,434.62
567,355.99
567,463.8
567,433.9
568,414.98
568,435.3
568,422.15
568,482.83
568,386.33
568,406.46
569,322.38
569,440.11
569,546.24
569,355.08
569,352.48
570,422.3
570,378.24
570,348.77
570,396.68
570,434.77
571,390.52
571,256.22
571,468.28
571,487.83
571,289.35
572,400.05
572,332.35
572,434.58
572,377.37
572,396.58
573,319.54
573,365.62
573,339.62
573,327.15
573,270.62
574,349.97
574,332.11
574,322.57
574,417.39
574,303.55
574,429.09
575,406.36
575,459.86
575,491.93
575,445.65
575,755.9
576,1875.38
576,2553.22
576,3223.98
576,3545.39
576,3826.65
577,3283.74
577,2529.43
577,2073.48
577,1948.62
577,1781.01
578,2088.26
578,2810.06
578,3472.44
578,3846.97
578,4118.89
579,4058.74
579,3522.28
579,2885.08
579,2489.8
579,2388.93
580,2197.62
580,2204.55
580,2198.53
580,2129.87
580,1851.5
580,1739.69
581,1662.26
581,1605.78
581,1549.54
581,1513.14
581,1638.72
582,1720.19
582,1624.66
582,1743.54
582,1800.41
582,1823.48
583,1809.85
583,1771.38
583,1897.29
583,1772.96
583,1858.87
584,1853.86
584,1897.39
584,1769.55
584,1831.76
584,1722.4
585,1693.37
585,1610.6
585,1577.18
585,1643.15
585,1596.34
585,1537.31
586,1680.46
586,1717.16
586,2109.4
586,2362.63
586,2554.23
587,2712.89
587,2859.37
587,2697.2
587,2377.75
587,2265.9
588,2033.47
588,1935.28
588,1819.72
588,1724.14
588,1647.09
589,1530.42
589,1452.7
589,1429.45
589,1319.32
589,1267.66
590,1210.98
590,1210.21
590,1245.51
590,1250.61
590,1240.88
590,1258.03
591,1278.78
591,1279.69
591,1420.92
591,1369.06
591,1585.32
592,1609.82
592,1840.43
592,2017.96
592,2132.42
592,2249.04
593,2184.47
593,2185.87
593,2151.54
593,2019.55
593,1819.43
594,1727.6
594,1611.46
594,1572.99
594,1408.79
594,1333.53
595,1270.45
595,1198.17
595,1128.69
595,1238.52
595,1224.03
595,1013.32
596,1017.36
596,1031.04
596,936.08
596,926.35
596,895.54
597,956.06
597,1015.68
597,992.37
597,949.85
597,1001.37
598,1129.89
598,1170.24
598,1216.04
598,1306.51
598,1382.07
599,1342.73
599,1527.1
599,1572.6
599,1636.93
599,1513.52
599,1542.8
600,1571.93
600,1442.64
600,1370.46
600,1338.49
600,1223.21
601,1112.94
601,1102.69
601,1068.88
601,995.31
601,1010.62
602,845.84
602,929.1
602,803.76
602,899.05
602,684.68
603,815.99
603,740.58
603,782.28
603,755.03
603,755.85
603,800.63
604,843.44
604,830.19
604,767.02
604,816.47
604,833.08
605,766.68
605,806.98
605,940.99
605,907.29
605,879.55
606,940.56
606,916.29
606,977.68
606,1019.05
606,1063.97
607,1159.75
607,1278.88
607,1095.75
607,1268.04
607,1250.85
608,1359.43
608,1516.51
608,1502.78
608,1589.17
608,1900.71
608,1938.08
609,2116.43
609,2534.92
609,2938.44
609,3483.04
609,4275
610,5456.5
610,7591.57
610,10053.1
610,13009.98
610,15430.78
611,17393.6
611,18031.42
611,17718
611,16508.61
611,15050.71
611,13735.05
612,12733.58
612,11896.32
612,11198.11
612,10426.09
612,9618
613,9091.26
613,8457.87
613,7733.33
