,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12 bulbs ,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE,PN,Relative Light intensity ,,,SAMPLE BEFORE RAYONET,,,,,,PN,,,,,,,SAMPLE AFTER RAYONET,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
kobs(m-1),kobs (m-1),λ,Irradiation ,I corrected,λ,"Abs, t=0","Abs, t=0 corrected",S,I*Ab*S,Rabs,λ,Abs ( Ref. Sensitizer),S,I*Abs(ref)*S,Rabs(ref),φ1O2 (t=0),,λ,"Abs, t=300min","Abs, t=300min corrected",S,I300*Abs*S,Rabs,φ1O2 (t=end),[1O2]ss,
,,750,22.6266666666667,22.6266666666667,750,-0.1400863528,0.0000,1.18,0.00,,750,0.001255600131,1.00,0.03,,,,750,-0.08837562054,0,1.11,0.00,,,,
,,749,8.044,8.044,749,-0.1399957836,0.0000,1.18,0.00,,749,0.001157686696,1.00,0.01,,,,749,-0.08842208236,0,1.11,0.00,,,,
,,748,4.405,4.405,748,-0.1396552771,0.0000,1.18,0.00,,748,0.00115742709,1.00,0.01,,,,748,-0.08824782819,0,1.11,0.00,,,,
,,747,4.49166666666667,4.49166666666667,747,-0.1393930614,0.0000,1.18,0.00,,747,0.001206069603,1.00,0.01,,,,747,-0.08838123828,0,1.11,0.00,,,,
,,746,5.958,5.958,746,-0.139661327,0.0000,1.18,0.00,,746,0.001297139679,1.00,0.01,,,,746,-0.08830799162,0,1.11,0.00,,,,
,,745,1.48333333333333,1.48333333333333,745,-0.1397218704,0.0000,1.18,0.00,,745,0.00123735005,1.00,0.00,,,,745,-0.08829045296,0,1.11,0.00,,,,
,,744,0.252,0.252,744,-0.1396367699,0.0000,1.18,0.00,,744,0.001313444925,1.00,0.00,,,,744,-0.08822019398,0,1.11,0.00,,,,
,,743,14.8983333333333,14.8983333333333,743,-0.1401585937,0.0000,1.18,0.00,,743,0.001222527237,1.00,0.02,,,,743,-0.08834516257,0,1.11,0.00,,,,
,,742,0.623333333333334,0.623333333333334,742,-0.1394692212,0.0000,1.18,0.00,,742,0.001262246165,1.00,0.00,,,,742,-0.08827491105,0,1.11,0.00,,,,
,,741,13.566,13.566,741,-0.1396868825,0.0000,1.18,0.00,,741,0.001516092219,1.00,0.02,,,,741,-0.08820890635,0,1.11,0.00,,,,
,,740,10.9366666666667,10.9366666666667,740,-0.1396653056,0.0000,1.18,0.00,,740,0.001352600986,1.00,0.01,,,,740,-0.08822703362,0,1.11,0.00,,,,
,,739,2.892,2.892,739,-0.1399633437,0.0000,1.18,0.00,,739,0.001310952357,1.00,0.00,,,,739,-0.08808182925,0,1.11,0.00,,,,
,,738,14.92,14.92,738,-0.1397762746,0.0000,1.18,0.00,,738,0.001046483405,1.00,0.02,,,,738,-0.08811128885,0,1.11,0.00,,,,
